site_id,site,state,status,operator,anchor_tenant,headline_mw,capital_cost_aud,construction_jobs,operational_jobs,primary_source,publisher,source_url,fact_status,confidence,as_of_date,n_applications,n_community_events,n_regulatory_events,n_instruments
SITE_APOLLO_PLACE,Apollo Place Data Centre,NSW,approved,,,45.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_LANE_COVE_WEST,Lane Cove West Data Centre,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_MOWBRAY_RD,Mowbray Road Data Centre,NSW,withdrawn,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_PROJECT_MARS,Project Mars Data Centre,NSW,lodged,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_ALDINGTON,Aldington Road Data Centre,NSW,pre_lodgement,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_KC1,"KC1 Data Centre, Kemps Creek",NSW,pre_lodgement,,,144.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_STACK_SYD01,"STACK SYD01 Data Centre, Erskine Park",NSW,lodged,STACK Infrastructure Australia Pty Ltd,,450.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_DCI_POPLARS,DCI Poplars Data Centre Project,NSW,approved,DCI Data Centers,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_BROOKHOLLOW,"Brookhollow Avenue Data Centre Expansion, Norwest",NSW,lodged,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_FREDERICK_ST,Frederick Street Data Centre,NSW,pre_lodgement,,,81.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_LANCELEY,"Lanceley Place Data Centre, Artarmon",NSW,approved,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_DICKER_DATA,Dicker Data Warehouse and Distribution Centre,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_ZERRA_MELB,"Zerra DC Melbourne campus (former automotive plant site, reported)",VIC,rumoured,Zerra DC,,,,,,"Zerra DC files plans for large data center campus in Queensland, Australia",Data Center Dynamics (Dan Swinhoe),https://www.datacenterdynamics.com/en/news/zerra-dc-files-plans-for-large-data-center-campus-in-queensland-australia/,CLAIMED,low,2026-09-18,0,0,0,0
SITE_IPSWICH_10ST,"Ten-storey data centre outside Brisbane (Ipswich, reported)",QLD,rumoured,,,,,,,"Zerra DC files plans for large data center campus in Queensland, Australia",Data Center Dynamics (Dan Swinhoe),https://www.datacenterdynamics.com/en/news/zerra-dc-files-plans-for-large-data-center-campus-in-queensland-australia/,CLAIMED,low,2026-09-18,0,0,0,0
