id,pillar,question,why_it_matters,target_source,retrieval_method,priority,status,owner,opened,resolved_date,notes,fact_status,source_id,confidence,as_of_date
41,C,"Harvest the ~120 submissions to the NSW Legislative Council Inquiry into Data Centres and code them by organisation type, position and the specific assertions each makes about subsidies, water, jobs and emissions.","The five hearing transcripts are now archived and mined, but the written submissions are the larger body of evidence and include the Greenpeace submission already used in this database. They are the best free route to closing RG-007, because industry and union submissions lobby for or against concessions and so disclose whether they exist.","https://www.parliament.nsw.gov.au/parliamentary-business/committees/inquiry-submission-details?committeeInquiryId=3169 - returns HTTP 403 to non-browser clients. Individual submission PDFs ARE downloadable from files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=/lcdocs/submissions/<id>/<name>.pdf, as demonstrated by Greenpeace's submission No 120 at /lcdocs/submissions/95082/. The blocker is enumerating the list, not fetching the files.",scrape_portal,4,open,,2026-09-18,,"Route options: fetch the list through a browser-capable client; probe sequential submission ids in the 95000-95200 range; or use the hearing schedules, which name organisations. The hearing schedule PDFs are image-only and yielded no text, so witness lists were recovered from the transcript appearance formula instead.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
42,D,"Obtain IPART's actual position on Sydney Water's 25 per cent data centre water projection, and the ABS water accounts figure Data Centres Australia relies on.","Two directly opposed accounts of the same regulator's position are now on the public record. DCA says IPART dismissed the 25 per cent figure as unverifiable; Sydney Water's Managing Director stands by it. The Observatory currently holds Sydney Water's projection as REPORTED/high and DCA's rebuttal as CLAIMED. Whichever way IPART's determination reads, one of the two must be reclassified - and this is the single most contested number in the whole Australian water debate.",IPART's Sydney Water pricing determination and any related issues paper; the IPART water pricing review for data centres commissioned on 17 August 2026; ABS Water Account Australia publications,dataset_download,4,open,,2026-09-18,,,VERIFIED,SRC_INQ_T_0501,high,2026-09-18
43,B,Test Data Centres Australia's $10.3bn energy infrastructure payment and $1.1bn excess capacity figures against network business capital plans and AER prudence assessments.,"These are the industry's headline numbers for the 'no net cost to consumers' claim and they appear in the inquiry record under parliamentary privilege. Transgrid's own published position supports the cost-allocation principle but not the quantum. Either the figures reconcile to augmentation commitments under signed connection agreements, or they are a projection of a pipeline in which, on Transgrid's evidence of 22 May 2026, no data centre had yet committed.","Transgrid, Ausgrid and Endeavour Energy capital expenditure plans; AER regulatory proposals and determinations; connection agreement disclosures",manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_INQ_T_0501,high,2026-09-18
44,E,"Assess Unions NSW's proposal for local content and apprentice quotas at no less than Renewable Energy Sector Board standards, and its warning that a market-based renewable funding mechanism would be opaque and would prevent tracking local content.","This is the only quantified workforce-conditionality proposal in the Australian record and it maps directly onto the 'conditional equity and utility' replacement the project brief proposes. The RESB precedent also means it is already implemented policy in an adjacent sector, so the feasibility objection is weak. The opacity warning is a direct critique of the NSW Guidelines' PPA portfolio approach and of the proposed REGO certificate scheme.",Renewable Energy Sector Board local content requirements; Unions NSW submission to the inquiry; NSW Data Centre Guidelines Principle 6,manual_review,3,open,,2026-09-18,,,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
45,C,"Fetch the modification reports and determinations for the five material post-consent modifications and quantify each change: how many additional generators and how much additional diesel at Roberts Road (SSD-10330-Mod-2), how much additional power consumption at Eastern Creek (SSD-21342738-Mod-2), how much additional fuel storage at Lane Cove West (SSD-9741-Mod-1), the extent of the Talavera Road expansion (SSD-24299707-Mod-1), and what Roberts Road Mod 4 proposes to change.","This is the mechanism by which the environmental envelope of a consented data centre grows without a fresh application, fresh exhibition or a fresh cumulative-impact assessment. The NSW Data Centre Guidelines say nothing about modifications, so a facility that satisfies dPUE, generator and diesel limits at consent can move away from them by modification. Until the quantum is known the Observatory can show that drift happens but not how far. Also resolve what 'APDC inclusion' means in Lane Cove West Mod 4.",NSW Planning Portal attachment nodes for each modification case; the scrapers/ingest_nsw_dc.py --attachments SLUG command lists them,scrape_portal,5,open,,2026-09-18,,,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
46,C,"Do the NSW Data Centre Guidelines, the Commonwealth Expectations or any draft National Electricity Rule change apply their performance measures to post-consent MODIFICATIONS, or only to new applications and expansions?","If they apply only to new applications, then every existing consent in Western Sydney can be upgraded past the dPUE, dWUE, generator-hours, diesel-storage and PPA-additionality thresholds by modification, and the Guidelines will have no effect on the operating fleet - only on greenfield sites. The Commonwealth Expectations do say they apply to 'new or expanded' hyperscale facilities, which suggests expansion is captured, but the NSW Guidelines' own text does not address modifications and the Glendenning consent contains no modification-specific performance measure.",NSW Data Centre Guidelines full text; Expectations of data centres and AI infrastructure developers; EP&A Act s.4.55 modification provisions and any DPHI practice note on modifications to data centre consents,manual_review,4,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18 from the instrument's own text. The Guidelines' compliance mechanism is: applicants submitting data centre applications must demonstrate whether they comply in their assessments, and conditions then require applicants to meet obligations, mitigation measures and COMMITMENTS OUTLINED IN THEIR ENVIRONMENTAL IMPACT STATEMENT. A s.4.55 modification varies an existing consent and has no EIS, so the Guidelines have no instrument by which to attach to it. Post-consent activity is reached only through annual reviews, Independent Audits and periodic reporting, which monitor against the original commitments rather than re-testing against current standards. The Commonwealth Expectations do say they apply to 'new or expanded' facilities, so expansion may be captured at national level, but the Expectations are non-binding and the NSW Guidelines are the operative instrument in the largest market. CONCLUSION: the framework has no ratchet. Confirmed empirically by RG-034, which found 15 of 17 modifications approved including added generators and diesel at Roberts Road and a power consumption increase at Eastern Creek, four of them either side of 17 August 2026. Follow-up on whether conditions ever exceed EIS commitments is RG-061.",VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
47,C,"Obtain the Minister for Planning's determination and permit conditions for the NEXTDC M3 expansion at West Footscray under the Development Facilitation Program, and compare them against the conditions Maribyrnong City Council imposed on the original 2021 permit.","This is the Victorian equivalent of RG-038 and arguably more important, because the DFP removes VCAT appeal and conditions review. If ministerial permits carry weaker noise, generator and water conditions than the council permit they supersede, then the Victorian fast track is not merely faster but materially less protective - and there is no appeal route by which to test it. The comparison is available because both decisions are on the public record.",Victorian planning permit registers; Minister for Planning determinations under Part 9A; Maribyrnong City Council planning records; any published DFP decision,manual_review,5,resolved,,2026-09-18,2026-09-18,"SUPERSEDED by RG-056 on 2026-09-18, which carries the full question and target sources. Closed to avoid two open gaps tracking the same task.",VERIFIED,SRC_GADENS_VIC,high,2026-09-18
48,C,"Enumerate every Victorian data centre permit issued through the Development Facilitation Program since 2020, with objection counts and conditions, and compare against permits issued through the standard council pathway.","One case study (M3) is suggestive; a census is evidence. If objection counts fall systematically when the pathway changes, the DFP is suppressing recorded participation across the state. Victoria's fast track is reported to reduce approvals to about three months and the Clean Energy Council records $51.9bn being fast-tracked as priority projects, so the population is large enough to measure.",Victorian Government planning decisions published under Part 9A; DJSIR's priority projects list under the Victorian Data Centre Strategy; council planning registers for the comparison group,manual_review,4,open,,2026-09-18,,,REPORTED,SRC_GADENS_VIC,high,2026-09-18
49,A,"Read the lodged Western Downs Digital Park development application and quantify capacity, phasing, back-up generation, diesel storage, water source and grid connection from the primary document rather than secondary reporting.","This is Australia's largest proposed data centre at 2.16 GW peak and A$31bn, and everything currently in the database about it is secondary. The application is freely downloadable from the Western Downs Regional Council development register, so there is no barrier except file size. The 100 per cent air-cooled claim in particular should be verified against the application, because if it holds at this scale it is the single strongest counter-example to the evaporative-cooling critique.",https://wdrcdevelopmenti.blob.core.windows.net/devdocs/6393206_1.pdf,scrape_portal,4,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18 from the primary document. Downloaded the lodged Western Downs Digital Park development application (343,666,719 bytes, ~870 pages) from the Western Downs Regional Council development register and decoded the Town Planning Report (Urbis V4, 14 August 2026, prepared for WDDP Pty Ltd, lodged 18-19 August 2026). Key primary facts now in the database: 725.5 ha freehold Lot 125 on DY516; landowner Wambo Cattle Company Pty Limited (ACN 058 718 326) with written consent at Appendix B; two easements; 2,160 MW IT load and approximately 3,240 MVA total facility demand across six data buildings delivered in four stages of 36,000 sqm each; three 540 MVA transformers per stage with N+1 redundancy; series battery between each 33 kV incomer bus and the load supporting energy arbitrage; up to 1,500 construction workers accommodated on site; primarily air-cooled with no evaporative cooling and only one-time commissioning water demand; NO reticulated town water so primary potable supply is by ROAD TANKER to on-site tanks, with rainwater harvesting and treated wastewater reuse supplementary and the final strategy deferred to detailed design; adjacent to Braemar 1 (~504 MW) and Braemar 2 (~450 MW) gas and CSG stations and the APA Daandine CGPF (~27.4 MW); Impact Assessment under the Planning Act 2016 as Research and Technology Industry, Workforce Accommodation and High Impact Industry; and parallel pursuit of Prescribed Project status under the SDPWO Act. RESIDUAL: the appendices were not decoded (RG-053), the proponent's ownership is unresolved (RG-052), and the four-versus-six building inconsistency inside the lodged document is unresolved.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
50,B,"Establish the domicile and ultimate ownership of AGP, the investment firm that owns Zerra DC, and of Zerra DC's Australian operating entity.","The proponent of Australia's largest proposed data centre is described in secondary reporting only as 'Singapore-based', with Anthropic reported as its anchor. A foreign investment firm owning the shell and a foreign AI laboratory anchoring the compute is the exact structure the brief's Pillar B and Pillar C questions are aimed at, and it is currently evidenced only by trade press. Queensland dissented from the July 2026 ECMC agreement on mandatory renewable offsetting, so the national policy floor does not apply here either.",ASIC and ABR searches for Zerra DC and AGP; the lodged development application's proponent and landowner details; Queensland land title records,asic_search,4,in_progress,,2026-09-18,,"Advanced 2026-09-18. The ABR resolves six Zerra entities, all NSW 2000: Zerra WDDP Manager Australia (5 Feb 2025), Zerra Investments Australia (17 Apr 2025), Zerra DC Operator (Australia) (25 Nov 2025, business name 'Zerra DC'), Zerra Operator FinCo (5 Aug 2026), Zerra WDDP Asset Manager and Zerra WDDP Investments AU (both 10 Aug 2026, neither GST registered). The lodged application names WDDP Pty Ltd and never mentions Zerra or AGP, so the link rests on the ABR naming convention plus the project acronym. The 'Singapore-based' characterisation and AGP ownership remain trade-press only. Ultimate ownership now sits in RG-052 with the KNBDC extracts as a single ASIC task.",VERIFIED,SRC_ABR_ZERRA,high,2026-09-18
51,A,"Verify and map the reported ten-storey data centre outside Brisbane (Ipswich, plans reported filed 19 August 2026) and the reported six-building Zerra DC campus on a former automotive plant site in Melbourne.","Both are currently CLAIMED/low on single secondary headlines. A ten-storey data centre would be an outlier in Australia, where the tallest consented structures are five storeys at Glendenning Road and four at Mamre Road, so it is either a notable design departure or a reporting error.",Ipswich City Council development register; Victorian planning permit applications; proponent announcements,scrape_portal,3,open,,2026-09-18,,,CLAIMED,SRC_DCD_ZERRA,low,2026-09-18
52,B,"Obtain ASIC company extracts for WDDP Pty Ltd and the six Zerra Australian entities, and establish the directors, shareholders and ultimate parent of the proponent of Australia's largest data centre proposal.","The lodged application names WDDP Pty Ltd and never mentions Zerra or AGP. The ABR resolves a six-entity Zerra stack in Sydney CBD, two of which were incorporated four days before the report was dated. Between the application and the ABR there is no public document that states who owns the proponent of a 2,160 MW, A$31bn project. Secondary reporting says Singapore-based AGP; that is currently unevidenced.","ASIC Connect company extracts for WDDP Pty Ltd, Zerra WDDP Manager Australia (ACN 684 250 584), Zerra Investments Australia (ACN 686 366 254), Zerra DC Operator (Australia), Zerra Operator FinCo (ACN 701 082 082), Zerra WDDP Asset Manager (ACN 701 249 765) and Zerra WDDP Investments AU (ACN 701 246 693); registered charges searches",asic_search,5,open,,2026-09-18,,,VERIFIED,SRC_ABR_ZERRA,high,2026-09-18
53,A,"Extract the remaining appendices of the Western Downs application: Appendix B title search and easements, Appendix D architectural drawings, the water supply and demand assessment, the acoustic and air quality assessments, the traffic assessment, Appendix N external lighting, Appendix O waste management and Appendix P economic benefit assessment.","Only the Town Planning Report's opening streams were decoded. Back-up generation capacity, diesel or gas storage quantities, noise limits, the actual distance to the nearest reticulated water, traffic movements from road-tanker water delivery and 1,500-worker accommodation, and the employment claims all sit in the appendices. The economic benefit assessment in particular is the document to test against Blacktown Council's demand that displaced existing employment be netted off.","The archived 344 MB PDF at data/raw/qld_western_downs/wdrc_6393206_1.pdf - use scripts/pdf_text.py in --stream mode with a high --stream-limit, or fetch the individual appendix files from the Western Downs Regional Council development register",manual_review,4,open,,2026-09-18,,"The document is ~870 pages and embeds survey imagery whose streams decompress to gigabytes, so extraction must stay in streaming mode with the oversized-stream skip enabled.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
54,C,"Track whether the Western Downs Digital Park is declared a Prescribed Project under the State Development and Public Works Organisation Act 1971 (Qld), and whether the Coordinator-General issues a notice that changes the assessment pathway.","The application says the proponent is pursuing declaration in parallel with the council assessment. On its face the SDPWO route coordinates and expedites without removing the assessment manager or submission rights - unlike Victoria's DFP. If a notice is issued, Queensland moves from the most participatory of the three eastern pathways to the least, for the largest project in the country, in a state that has already dissented from the national renewable-offsetting agreement.",Queensland Coordinator-General declared and prescribed project registers; Western Downs Regional Council development register status updates,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_WDDP_TPR,high,2026-09-18
55,B,"Test whether fresh single-purpose SPV incorporation immediately before lodgement is the general Australian pattern rather than two coincidences, by pulling ASIC incorporation dates for the proponents of every consented data centre in the NSW register.","Two of Australia's three largest proposals are fronted by SPVs incorporated days or weeks before lodgement: the Zerra WDDP entities (10 August 2026, four days before the report) and the KNBDC SYD4 trusts (19 June 2025). The NSW register now supplies 46 case ids whose proponents can be read from each consent's Schedule 1, so the pattern is testable across the whole pipeline. If it is general, then the practical consequence is that the entity with legal responsibility for a data centre's conditions is routinely a company with no operating history, no assets and no public ownership - which is a compliance-enforcement problem, not merely a transparency one.",Signed consents' Schedule 1 applicant field for all 24 determined NSW data centre SSDs; ASIC incorporation dates; ABR,asic_search,4,in_progress,,2026-09-18,,"Advanced from four consents to twenty 2026-09-18. Of 18 reliably extracted consents, FOUR name an identifiable operating company (Canberra Data Centres, NEXTDC, Macquarie Data Centres, Goodman Property Services). The rest name consultancies (Cundall Johnston and Partners twice, Lehr Consultants, ARUP), a trust trustee (NineZero DC Sub Trust I), or single-purpose vehicles (EMKC Cubed Management twice, HDI SYD1 Property Holdings, Equinix Hyperscale 2 (SY10)); six did not parse. Combined with the incorporation-date evidence - KNBDC's stack created April to June 2025, Zerra WDDP's two SPVs on 10 August 2026 four days before the report date - the pattern is established: the legal person carrying a data centre consent's conditions is usually a purpose-built entity with no operating history. What remains is ASIC incorporation dates and shareholding for each named applicant, which converts the pattern from observed to proven and identifies who stands behind the conditions.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
56,C,"Obtain the Minister for Planning's determination and permit conditions for the NEXTDC M3 expansion at West Footscray under Victoria's Development Facilitation Program, and the conditions Maribyrnong City Council imposed on the original 2021 permit.","This is the Victorian equivalent of the Glendenning consent test and arguably more consequential, because the DFP removes VCAT merits review and any review of permit conditions. If ministerial permits carry weaker noise, generator and water conditions than the council permit they supersede, the Victorian fast track is not merely faster but materially less protective, with no appeal route by which to test it. Victoria has no single searchable register equivalent to the NSW Planning Portal, so the route is the Department of Transport and Planning, Maribyrnong City Council planning records, and any published Part 9A decision.",Victorian Minister for Planning Part 9A decisions; Maribyrnong City Council planning register; DTP planning permit search,manual_review,4,open,,2026-09-18,,"Supersedes RG-047, which is closed to avoid two open gaps tracking the same task.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
57,A,"Obtain the access-restricted documents on the Davis Road Data Centre application (SSD-59416728): the ASIC certificate for Amazon Corporate Services Pty Ltd, the landowner consent letter, and the signed determination's Schedule 1 in full - and establish Amazon's role.","This is the closest the Observatory has come to a documented hyperscaler link in the NSW planning record. An ASIC certificate for Amazon Corporate Services Pty Ltd is filed on the application for a 160.85 MW consented data centre at Wetherill Park whose named applicant is its consulting engineer. The document returns HTTP 401 - the portal marks it not public - so the role cannot be read. Whether Amazon is the landowner, the intended tenant, the purchaser or something else determines whether this is an AWS facility, and RG-023 was closed as a negative partly because no such link was visible. It may need to be reopened.",FOI to NSW DPHI under the GIPA Act for the restricted attachments on SSD-59416728; the Appendix 3 title documents (which name the registered proprietor); ASIC extract for Cundall Johnston and Partners Pty Ltd to see whether it acted as agent,foi_request,5,open,,2026-09-18,,"Also restricted on Roberts Road (SSD-10330): the document titled 'CDC Data Centres response warning letter', and the political donation disclosure which is public but a scanned image with no extractable text. The warning letter is potentially the only enforcement-style document against a data centre operator anywhere in the NSW record and it is not publicly downloadable - see RG-058.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
58,C,"Obtain the warning letter issued in relation to the Roberts Road Data Centre (SSD-10330) and the response from CDC Data Centres, and establish what the Department has done about non-compliance with data centre consent conditions generally.","The project record contains a document titled 'CDC Data Centres response warning letter'. If a warning letter was issued to Australia's largest sovereign-positioned data centre operator over a Blacktown facility, that is the only known instance of enforcement-style action against a data centre operator in NSW - and it is not publicly downloadable. The portal's compliance and enforcement tabs for every project in the register show 'There are no enforcements for this project', so a warning letter would sit below the threshold of what the portal discloses. Whether conditions are actually enforced is the question the entire regulatory analysis turns on.",FOI to NSW DPHI under the GIPA Act for the warning letter and response on SSD-10330; the DPHI compliance and enforcement register; EPA licence and incident records for the site,foi_request,5,open,,2026-09-18,,,VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
59,B,"Resolve 'The Trustee for NineZero DC Sub Trust I', the applicant for the DCI Poplars Data Centre, and the corporate trustee behind it.","A fifth distinct proponent structure type in a six-consent sample, and the second unit-trust structure after KNBDC SYD4. The 'Sub Trust I' formulation implies a trust series with further sub-trusts, which is how a platform holds multiple sites in separate bankruptcy-remote vehicles. The 'NineZero' element suggests a net-zero branding claim worth testing against the consent, which contains no renewable procurement condition at all.",ABR and ASIC extracts for NineZero DC and its corporate trustee; the DCI Poplars title documents,asic_search,4,open,,2026-09-18,,,VERIFIED,SRC_DCI_POPLARS_CONSENT,high,2026-09-18
60,C,"Read the remaining determined consents in the NSW register - Project Pluto (126 MW), Project Echidna (35 MW), 1-5 Khartoum Road (35 MW), Project Apollo, Talavera Road, Grand Avenue Rosehill, Eastern Creek Expansion, Station Road Expansion, Apollo Place, Lanceley Place, Lane Cove West, Macquarie Park, Brookhollow Norwest, 43-61 Turner Road, 51 Huntingwood Drive and Kemps Creek - and extend the four-consent condition comparison to the full population.","Four consents establish the trajectory but not the variance. The key open questions are whether the 200-hour condition is universal, whether any pre-2026 consent contains a renewable procurement condition, whether the installed-back-up-exceeds-load pattern holds everywhere, and whether Glendenning's additions are one-off or the start of a new template. All the consents are publicly downloadable by the method proven here, so this is free work - roughly two minutes per consent.",NSW Planning Portal attachment nodes for each determined SSD; method is scrapers/ingest_nsw_dc.py --attachments SLUG then resolve field_content_url and download,manual_review,5,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18. Built scripts/consent_condition_audit.py, which indexes all 6,866 attachments across 63 archived project nodes, ranks and selects the best consent candidate per project, skips anything marked field_is_public=false, downloads under a 12 MB cap with SHA-256 manifests and per-document extraction yield statistics, and runs a fixed 21-test condition battery plus a Schedule 1 applicant parse. All 20 determined and approved data centre SSDs were processed. After the 2026-09-18 pypdf re-extraction ALL 20 extract above the reliability floor. RESULTS (of 20): renewable supply or PPA conditions in 5; PUE in 7; WUE in 4; recycled or non-potable water in 5; NOx mass cap in 2 (Glendenning 10 t/yr excluding unplanned outages; NEXTDC S4 5.5 t/yr including testing and commissioning); NOx concentration limit in ZERO; stack height in 3; annual emissions testing in 6; Tier standard in 2; diesel storage cap in 14; installed back-up generation cap in 14; battery storage in 8; website disclosure in 19; and the NSW Data Centre Guidelines cited in ZERO consents including Glendenning and Project Apollo, determined AFTER they took effect. Generator hours caps in 17: 200 hours in 14, with Glendenning 170, Project Pluto 173 and Project Apollo 187 the only departures. Matrix at exports/nsw_planning/nsw_dc_consent_conditions.csv.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
61,C,"Test whether the 'no ratchet' finding holds: for each of the 24 determined NSW data centre consents, compare the conditions against what the proponent's own EIS committed to, and identify any case where a condition is MORE demanding than the EIS commitment.","The Guidelines' mechanism converts EIS commitments into conditions. If conditions never exceed what the proponent offered, then the entire NSW performance standard is set by the proponent, and the 17 performance measures function as a negotiation floor rather than a ceiling. Glendenning's all-times renewable matching and 10 t/yr NOx cap could then be either a proponent concession or an assessment imposition, and the difference determines whether the regime can deliver outcomes a proponent would not volunteer.","Each determined SSD's EIS plus its signed consent, both publicly downloadable by the method proven in RG-038; the Assessment Report where public, which records what the Department recommended adding",manual_review,5,in_progress,,2026-09-18,,"Partly answered 2026-09-18 and sharpened. The condition battery across 18 consents shows the distribution of outcomes but not their origin, which is what RG-061 asks. The sharpest available evidence: only FOUR consents carry any renewable supply condition, only FIVE mention PUE, and the Guidelines are cited in ZERO - yet Glendenning, Project Pluto and Project Apollo all carry renewable plus PUE plus WUE plus recycled water provisions while the other fifteen carry none. That clustering is consistent with proponent-specific commitments being converted into conditions, exactly as Section 3 of the Guidelines describes, rather than with a Department-imposed standard. Confirming it requires comparing each consent against its own EIS commitments, which are in the archived attachment index.",VERIFIED,SRC_NSWPORTAL_CONSENTS,medium,2026-09-18
62,C,Establish whether any consent or modification has relied on the Guidelines' definition of recycled water as including on-site treatment 'such as from captured stormwater' to satisfy the recycled-water expectation.,"Principle 1 Ref 2 requires data centres using water-intensive cooling to use recycled water for 100 per cent of cooling operations. The Guidelines define recycled water to include on-site water treatment such as captured stormwater. A facility could therefore satisfy the measure with its own roof runoff while drawing no recycled water from any utility network - which would not reduce demand on potable supply or on the ocean outfall network, the two stated purposes of the measure. Whether this has happened is testable from consent conditions and Sustainability Management Plans.",Consent conditions and approved Sustainability Management Plans for determined data centre SSDs; Sydney Water and utility recycled water scheme records,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
63,B,"Quantify the DPHI concierge function and dedicated data centre assessment team: headcount, cost, and whether the pre-assessment support that begins before site selection is available to community groups and councils on the same terms.","This is the largest in-kind transfer identified anywhere in the project and it is not in any budget paper as a data centre subsidy. Pre-assessment support that starts before site selection operates at the only point where environmental and community outcomes are decisive. If no equivalent capability is funded for objectors, the assessment process is asymmetrically resourced before it begins, which is a governance finding under the inquiry's terms of reference (h)(ii)-(iii) rather than a fiscal one.",DPHI annual reports and budget papers; the NSW Data Centre Consultation Paper and its submissions; estimates hearings; the Legislative Council inquiry record,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
64,B,"Resolve EMKC Cubed Management Pty Ltd and HDI SYD1 Property Holdings Limited: directors, shareholders, ultimate parent, and which operator or end user holds or leases each consent.","EMKC Cubed Management is the consent holder for TWO facilities - 51 Huntingwood Drive in Blacktown, which carries the largest installed back-up generation in the sample at 632 MW, and Apollo Place in Lane Cove. Those are the two corridors with the most concentrated data centre activity and the loudest community opposition in New South Wales, and in neither case does the public record identify who operates the facility or who is legally responsible for the conditions. 51 Huntingwood Drive sits in the AirTrunk SYD1 corridor and Apollo Place in the Lane Cove cluster where residents report an operating facility 350 m from homes.",ASIC company extracts; ABR; the title documents and EIS for SSD-41589232 and SSD-67407231; tenancy disclosure from operators in both corridors,asic_search,5,open,,2026-09-18,,,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
65,C,"Six of the twenty determined consents did not yield a parsed Schedule 1 applicant: 1-5 Khartoum Road, Dicker Data, Lane Cove West, Macquarie Park, Project Echidna, Project Pluto and Station Road Expansion. Read Schedule 1 directly in each.","The applicant is the legal person responsible for every condition in the consent. Without it, neither the corporate structure nor the enforcement question can be closed. Project Pluto is the most important of the six because it is one of only four consents carrying a renewable supply condition and one of five with PUE and WUE provisions, so knowing who volunteered those commitments matters for RG-061.","The archived consent PDFs under data/raw/nsw_planning/consents/ - the text is already extracted, only the Schedule 1 parse failed",manual_review,5,resolved,,2026-09-18,2026-09-18,RESOLVED 2026-09-18 by the pypdf re-extraction: ALL twenty Schedule 1 applicants now parse from the archived instruments. The seven formerly unparsed: Khartoum Road = Stockland Development Pty Limited; Dicker Data = Dicker Data Limited; Lane Cove West = Greenbox Architecture Pty Ltd; Macquarie Park = Stockland Trust Management Limited; Project Echidna = ARUP Australia Pty Ltd; Project Pluto = Goodman Property Services (Aust) Pty Ltd; Station Road = Lehr Consultants International (Australia) Pty Ltd.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
66,C,"Harvest all 116 submissions to the Senate Environment and Communications References Committee inquiry into Artificial intelligence and data centres, and identify which were lodged by AirTrunk, the Business Council of Australia, Data Centres Australia, NEXTDC, Equinix, CDC, Amazon, Microsoft, Google, Meta and the hyperscalers' landlords.","This is the NATIONAL inquiry and its terms of reference expressly cover 'existing and future deals between the Government and global Artificial Intelligence companies' - the only Australian process that reaches the OpenAI/NEXTDC S7 and reported Anthropic/Western Downs commercial arrangements. It reports 16 November 2026. The submission list is the single best available map of who is lobbying at Commonwealth level, and the first 20 already retrieved show it includes community groups, climate bodies, AI companies and professional associations as well as industry. The list is a JavaScript-postback pager, so the remaining 96 need a browser session or the ParlInfo DocStore identifiers, each of which is published alongside the submitter name.",https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Environment_and_Communications/AIdatacentres48P/Submissions (pages 2-6); each submission has a DocStoreId of the form <guid>~<id> which resolves through the aph.gov.au document store,scrape_portal,5,open,,2026-09-18,,"First 20 indexed at data/raw/senate_inquiry/submissions_index.json with their DocStoreIds. The Climate Council of Australia has published its own submission publicly, which is an alternative route for at least that one.",VERIFIED,SRC_SENATE_AI_DC,high,2026-09-18
67,B,"Build the complete Business Council of Australia membership roster and cross-reference it against every entity in this database that holds, operates, finances or supplies an Australian data centre.","The BCA is the channel through which Amazon, Apple and Google - none of which appears in any NSW planning record the Observatory harvested - exercise coordinated policy representation in Australia. Membership is published as logos on bca.com.au and is scrapeable; the roster is the missing link between the hyperscalers' invisible physical footprint and their visible policy footprint. It would also establish whether the landlords and financiers in this database (Goodman, Stockland, Dexus, ESR, IFM, Blackstone's other vehicles) are members, which determines whether the BCA's data centre positions are member-driven or board-driven.","https://www.bca.com.au/membership/ and /about/ - note that bca.com.au returns a 3,036-byte challenge page to non-browser clients, so this needs the rendering fetcher rather than urllib",scrape_portal,5,open,,2026-09-18,,,VERIFIED,SRC_BCA_ABOUT,high,2026-09-18
68,C,"Test whether AirTrunk's and the BCA's recycled water claims can be verified: does any Australian AirTrunk site hold a recycled water supply agreement, and with which utility?","'Recycled water now supplies 55 per cent of AirTrunk's total use' is a specific, checkable claim made to a parliamentary inquiry, and it is the strongest water credential claimed for the operator behind Australia's largest proposal. It also sits in tension with the NEXTDC S7 outcome, where recycled water was abandoned because pipeline planning permission was unavailable in Western Sydney. Either AirTrunk has solved an infrastructure problem NEXTDC could not, or the two claims are measuring different things - for example group-wide including Singapore, where the submission itself says the site runs entirely on reclaimed water. Distinguishing those is the whole question.","Sydney Water and Melbourne Water recycled water supply agreements (FOI, RG-017); AirTrunk sustainability reports; the SYD1, SYD2 and MEL1 consents and their Sustainability Management Plans; footnote 23 of BCA Submission No 116",manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_BCA_SUB116,high,2026-09-18
