id,as_of,scope,metric_name,value,unit,basis,scenario,notes,fact_status,source_id,confidence,as_of_date
120,2022-23,Australia,nger_scope1_Equinix,1106.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
121,2022-23,Australia,nger_scope2_Equinix,286428.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
122,2022-23,Australia,nger_net_energy_Equinix,1392552.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
123,2023-24,Australia,nger_scope1_Equinix,799.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
124,2023-24,Australia,nger_scope2_Equinix,279218.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
125,2023-24,Australia,nger_net_energy_Equinix,1449889.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
126,2024-25,Australia,nger_scope1_Equinix,1869.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
127,2024-25,Australia,nger_scope2_Equinix,288374.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
128,2024-25,Australia,nger_net_energy_Equinix,1557358.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
129,2019-20,Australia,nger_scope1_Global Switch Australia,92.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
130,2019-20,Australia,nger_scope2_Global Switch Australia,137617.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
131,2019-20,Australia,nger_net_energy_Global Switch Australia,612953.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
132,2020-21,Australia,nger_scope1_Global Switch Australia,85.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
133,2020-21,Australia,nger_scope2_Global Switch Australia,129503.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
134,2020-21,Australia,nger_net_energy_Global Switch Australia,576792.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
135,2021-22,Australia,nger_scope1_Global Switch Australia,211.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
136,2021-22,Australia,nger_scope2_Global Switch Australia,119619.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
137,2021-22,Australia,nger_net_energy_Global Switch Australia,548110.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'GLOBAL SWITCH AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
138,2022-23,Australia,nger_scope1_Global Switch Australia,184.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
139,2022-23,Australia,nger_scope2_Global Switch Australia,94827.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
140,2022-23,Australia,nger_net_energy_Global Switch Australia,470265.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
141,2023-24,Australia,nger_scope1_Global Switch Australia,311.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
142,2023-24,Australia,nger_scope2_Global Switch Australia,78961.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
143,2023-24,Australia,nger_net_energy_Global Switch Australia,422466.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
144,2019-20,Australia,nger_scope1_Telstra,36019.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
145,2019-20,Australia,nger_scope2_Telstra,1140573.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
146,2019-20,Australia,nger_net_energy_Telstra,5593779.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
147,2020-21,Australia,nger_scope1_Telstra,32815.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
148,2020-21,Australia,nger_scope2_Telstra,1080491.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
149,2020-21,Australia,nger_net_energy_Telstra,5358340.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
150,2021-22,Australia,nger_scope1_Telstra,31543.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
151,2021-22,Australia,nger_scope2_Telstra,1040346.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
152,2021-22,Australia,nger_net_energy_Telstra,5284566.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'TELSTRA CORPORATION LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
153,2022-23,Australia,nger_scope1_Telstra,30465.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
154,2022-23,Australia,nger_scope2_Telstra,856726.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
155,2022-23,Australia,nger_net_energy_Telstra,4933447.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
156,2023-24,Australia,nger_scope1_Telstra,32771.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
157,2023-24,Australia,nger_scope2_Telstra,757967.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
158,2023-24,Australia,nger_net_energy_Telstra,4657693.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
159,2024-25,Australia,nger_scope1_Telstra,31422.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
160,2024-25,Australia,nger_scope2_Telstra,677664.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
161,2024-25,Australia,nger_net_energy_Telstra,4310554.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'TELSTRA GROUP LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
162,2024-25,Australia,nger_market_based_scope2_fujitsu,28945.0,t CO2-e,actual,,CER market-based scope 2 table 2024-25; coverage flag: Yes.,VERIFIED,SRC_CER_MARKETS2,high,2026-09-21
163,2024-25,Australia,nger_market_based_scope2_nextdc,345432.0,t CO2-e,actual,,CER market-based scope 2 table 2024-25; coverage flag: No (94% of facilities).,VERIFIED,SRC_CER_MARKETS2,high,2026-09-21
164,2026-03,NSW,ida_endorsed_data_centre_investment,51.9,AUD bn,pipeline,,"15 projects endorsed in Round 1 of the NSW Investment Delivery Authority, announced with proponent names and local government areas.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
165,2026-03,NSW,ida_rejected_data_centre_investment,40.7,AUD bn,pipeline,,Proposals the IDA declined to endorse as premature or overly speculative. The single best government-side measure of phantom demand in Australia.,VERIFIED,SRC_NSW_IDA,high,2026-09-18
166,2026-03,NSW,ida_endorsed_energy_projects,34.0,AUD bn,pipeline,,14 renewable energy and energy security projects endorsed earlier in March 2026.,VERIFIED,SRC_NSW_IDA,high,2026-09-18
167,2026-03,NSW,operational_data_centres_nsw_release,90.0,count,actual,,"Figure used in the 27 March 2026 ministerial release. CONFLICTS with the ~60 figure in the NSW Data Centre Guidelines of 17 August 2026, which says ~60 'once double counting associated with projects developed through multiple stages is accounted for'. Both are NSW Government numbers five months apart; the Guidelines figure is the methodologically qualified one and should be preferred.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
168,2026-03,NSW,dc_share_of_nonresidential_building_investment,12.0,%,actual,,Data centres are 12% of all non-residential building investment in NSW; investment value has grown 65% per year on average over three years.,VERIFIED,SRC_NSW_IDA,high,2026-09-18
169,2026-03,NSW,dc_projects_approved_past_year,8.0,count,actual,,"Eight data centre projects worth more than $10bn approved in the preceding year, including the biggest data centre in the Southern Hemisphere (CDC Marsden Park, separately reported at A$3.1bn).",VERIFIED,SRC_NSW_IDA,high,2026-09-18
170,2026-07,Australia,operational_data_centres_guardian_abs,285.0,count,actual,,"Guardian Australia, July 2026. CONFLICTS with AEMO's 162 (June 2026, citing DCByte) and with the NSW release's 90 for NSW alone. Almost certainly a different definition of 'data centre' - likely counting all colocation and enterprise rooms rather than facilities above a capacity threshold. Recorded as a conflict, not resolved.",REPORTED,SRC_GUARD_PLUMPTON,low,2026-09-18
171,2026-01,Australia,commercial_building_approvals_dc_spike,5.0,AUD bn,actual,,"ABS building approvals for commercial buildings not elsewhere classified, a series the ABS states is spiking because of data centres.",REPORTED,SRC_GUARD_PLUMPTON,medium,2026-09-18
172,2023-07,NSW,msft_kemps_creek_generators,61.0,count,actual,,"Generators in the SSD-10101987 consent for Microsoft's Kemps Creek campus, alongside 30 diesel storage tanks. Compare 846 generators and >18,000 kL of diesel storage in the adjacent proposed 1 GW Mamre Road campus.",VERIFIED,SRC_NSWPORTAL_KC,high,2026-09-18
173,2026-09,NSW,glendenning_road_approved_mw,202.4,MW,actual,,"Approved 16 September 2026, one month after the NSW Data Centre Guidelines took effect, over Blacktown City Council's objection.",VERIFIED,SRC_NSWPORTAL_GLEN,high,2026-09-18
174,2026-07,VIC,plumpton_ai_hub_max_capacity,2400.0,MW,pipeline,,"Reported maximum capacity across four buildings on 350 ha at Plumpton; would exceed Loy Yang A. From secondary and community reporting, not from a lodged application - no application reference located yet.",REPORTED,SRC_GUARD_PLUMPTON,low,2026-09-18
175,2026-07,VIC,plumpton_petition_signatures,3600.0,count,actual,,Signatures on the petition for careful assessment.,REPORTED,SRC_GUARD_PLUMPTON,high,2026-09-18
176,2026-09,NSW - Bayside,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
177,2026-09,NSW - Blacktown,nsw_dc_ssd_projects,13.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
178,2026-09,NSW - Camden,nsw_dc_ssd_projects,2.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
179,2026-09,NSW - Cessnock City,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
180,2026-09,NSW - City of Parramatta,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
181,2026-09,NSW - City of Ryde,nsw_dc_ssd_projects,9.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
182,2026-09,NSW - City of Sydney,nsw_dc_ssd_projects,2.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
183,2026-09,NSW - Cumberland,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
184,2026-09,NSW - Fairfield City,nsw_dc_ssd_projects,3.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
185,2026-09,NSW - Lane Cove,nsw_dc_ssd_projects,5.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
186,2026-09,NSW - Penrith,nsw_dc_ssd_projects,5.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
187,2026-09,NSW - Queanbeyan-Palerang Regional,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
188,2026-09,NSW - Sutherland Shire,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
189,2026-09,NSW - The Hills Shire,nsw_dc_ssd_projects,1.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
190,2026-09,NSW - Willoughby City,nsw_dc_ssd_projects,2.0,count,actual,,"Data centre State Significant Development project records on the NSW Planning Portal, harvested 18 September 2026. Includes modification applications.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
191,2026-09,NSW,nsw_dc_ssd_stage_determination,24.0,count,actual,,Projects at stage 'Determination' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
192,2026-09,NSW,nsw_dc_ssd_stage_withdrawn,3.0,count,actual,,Projects at stage 'Withdrawn' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
193,2026-09,NSW,nsw_dc_ssd_stage_assessment,5.0,count,actual,,Projects at stage 'Assessment' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
194,2026-09,NSW,nsw_dc_ssd_stage_prepare_eis,9.0,count,actual,,Projects at stage 'Prepare EIS' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
195,2026-09,NSW,nsw_dc_ssd_stage_response_to_submissions,4.0,count,actual,,Projects at stage 'Response to Submissions' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
196,2026-09,NSW,nsw_dc_ssd_stage_unrecorded,1.0,count,actual,,Projects at stage 'unrecorded' in the harvested register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
197,2026-09,NSW,nsw_dc_ssd_withdrawn,3.0,count,actual,,"Augusta Street (Blacktown, SSD-10469), 52 Turner Road (Camden, SSD-60185233) and Mowbray Road (Lane Cove, SSD-13475973). Withdrawn applications are the only direct evidence in the planning record of proposals that did not survive, and they belong in any phantom-demand analysis alongside the IDA's $40.7bn of non-endorsed proposals and Transgrid's 20 GW of unconverted enquiries.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
198,2026-09,NSW,nsw_dc_ssd_no_hyperscaler_branded_project,0.0,count,actual,,"Zero of the 46 harvested NSW data centre SSD records is titled with AWS, Amazon, Google or Meta. Microsoft appears only through its proponent entity on the Kemps Creek consent and the Honeman Close application. Hyperscaler facilities are therefore either leased from third-party landlords, held under codenames (Project Duke, Atlas, Echidna, Apollo, Pluto, Mars), or in another state. This is the concrete finding for RG-023: the NSW planning record cannot be used to map hyperscaler footprints, and the route is ASIC resolution of the codename SPVs plus landlord tenancy disclosure.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
199,2026-09,NSW,glendenning_consent_total_power_mw,235.0,MW,actual,,Total power consumption permitted by the signed consent. The portal summary and assessment record state 202.4 MW; the discrepancy is unexplained on the public record.,VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
200,2026-09,NSW,glendenning_backup_generation_cap_mw,267.45,MW,actual,,Condition A6(a): maximum total installed back-up generating capacity.,VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
201,2026-09,NSW,glendenning_generator_hours_cap,170.0,hours/yr,actual,,"Condition A7(a). LOWER than the 200 hours per year that NSW Government guidance identifies as the current unregulated window, and subject to concurrency, evening and daily testing limits. Real-time counting prevents concurrent testing from multiplying the allowance.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
202,2026-09,NSW,glendenning_diesel_storage_cap,2000.0,tonnes,actual,,"Condition A7(e): maximum diesel fuel storage on site at any one time. Compare >18,000 kL (about 15,300 t at 0.85 kg/L) proposed at the Mamre Road campus.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
203,2026-09,NSW,glendenning_nox_cap,10.0,t/yr,actual,,"Condition B14(b): absolute annual cap on total NOx as NO2-equivalent from back-up generator operation, not applying during unplanned power outage events. Derived implied concentration at full load for the full 170 hours is roughly 465 mg/m3, the same order as the 450 mg/m3 Group 6 limit, but an absolute mass cap binds harder.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
204,2026-09,NSW,glendenning_stack_height,45.0,m,actual,,Condition B14(a): generator flue gases vented through vertical stacks 45 m above ground level.,VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
205,2026-09,NSW,glendenning_data_halls,22.0,count,actual,,22 data halls across three five-storey buildings.,VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
206,2025-06,NSW,glendenning_parking_required_dcp,823.0,spaces,actual,,Required under the Blacktown Development Control Plan per council's objection.,VERIFIED,SRC_BLACKTOWN_OBJ,high,2026-09-18
207,2025-06,NSW,glendenning_parking_proposed,165.0,spaces,actual,,"Proposed. The Transport for NSW Guide to Transport Impact Assessment (2024) yields 179 for this use, still 14 more than proposed.",VERIFIED,SRC_BLACKTOWN_OBJ,high,2026-09-18
208,2025-06,NSW,glendenning_warehouses_displaced,3.0,count,actual,,"Existing warehouses on the site whose employment was not netted off in the proponent's Social and Economic Impact Assessment, per Blacktown City Council.",VERIFIED,SRC_BLACKTOWN_OBJ,high,2026-09-18
209,2025-04,NSW,knbdc_stack_incorporation_start,2025.25,year,actual,,"Earliest KNBDC entity registration (AU Financing Holdco, 3 April 2025); the SYD4 trusts follow on 19 June 2025. All NSW 2060 North Sydney.",VERIFIED,SRC_ABR_KNBDC,high,2026-09-18
210,2026-05,Australia,dca_member_share_of_operational_capacity,86.0,%,actual,,"Belinda Dennett, CEO of Data Centres Australia, under parliamentary privilege: 'Our members represent 86 per cent of operational data centre capacity across the country.' DCA launched on 28 November 2025 and grew out of five data centre operators that began meeting about two and a half years earlier.",VERIFIED,SRC_INQ_T_0501,high,2026-09-18
211,2030,Australia,dc_operator_energy_infrastructure_payments,10.3,AUD bn,forecast_central,,Claimed by Data Centres Australia: operators will pay $10.3 billion in energy infrastructure to 2030. Asserted alongside the claim that the national electricity rules require all large load users including data centres to pay 100 per cent of connection costs and augmentations.,CLAIMED,SRC_INQ_T_0501,medium,2026-09-18
212,2030,Australia,dc_excess_capacity_available_for_public_use,1.1,AUD bn,forecast_central,,"Data Centres Australia: of the $10.3 billion, $1.1 billion is excess capacity available for public use. This is the industry's own version of the 'no net cost to consumers' principle and should be tested against network business capital plans.",CLAIMED,SRC_INQ_T_0501,medium,2026-09-18
213,2026,Australia,dc_share_of_national_water_use_dca_claim,0.04,%,estimate,,"Data Centres Australia, citing the ABS water accounts: data centre water use is 0.04 per cent of Australia's water use and less than 1 per cent of Sydney's. Directly contradicts Sydney Water's projection of up to 25 per cent of Greater Sydney drinking water demand by 2035. The two are probably measuring different things - current measured use against a ten-year forward projection based on applications received - but the gap is four orders of magnitude in framing and the committee put it to both parties.",CLAIMED,SRC_INQ_T_0501,medium,2026-09-18
214,2026,Australia,dc_share_of_water_use_dca_estimate,1.9,%,estimate,,"Figure attributed to Data Centres Australia by the Chair when putting the discrepancy to Sydney Water's Managing Director on 22 May 2026: 'DCA say that they estimate 1.9 per cent of water will be used for data centres, which is very different to your 25 per cent.' Note this is a second, different DCA water figure from the 0.04 per cent / less than 1 per cent given on 1 May.",REPORTED,SRC_INQ_T_0522,medium,2026-09-18
215,2026-05,Sydney,sydney_water_stands_by_25pct,25.0,%,forecast_high,,"Darren Cleary, Managing Director of Sydney Water, under questioning: 'We do [stand by the 25 per cent forecast demand], and we acknowledge the uncertainty.' He added that the current applications alone represent water demand 'the equivalent of a new suburb connecting to our system', that the ten-year figure could be 20, 10 or 5 per cent, and that Sydney Water removes obviously duplicative or entirely speculative applications but otherwise forecasts on applications actually received. On phantom demand specifically: water applications are less likely to be phantom than energy applications because by the time a proponent applies for water it has typically already secured its energy connection, so its project is more mature.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
216,2026-05,Sydney,medium_dc_water_demand_equivalent_homes,9000.0,homes,estimate,,"UDIA: a medium-sized data centre using around five megalitres per day has a water demand broadly equivalent to around 9,000 homes.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
217,2026-05,South-west Sydney,housing_lots_constrained_water_sewer,121000.0,lots,actual,,"UDIA: the Department of Planning's Urban Development Program identifies around 121,000 housing lots still to be created across three south-west Sydney growth areas, constrained by a lack of water and sewer infrastructure.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
218,2026-05,Sydney,dwellings_blocked_by_water_servicing_pct,62.0,%,actual,,"UDIA survey work representing more than 36,000 planned dwellings found 22,400 of them - 62 per cent - unable to proceed because of a lack of committed water or wastewater infrastructure. This is the strongest quantified evidence in the inquiry record that data centre water demand competes directly with housing delivery.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
219,2026-05,Sydney,sydney_water_funding_shortfall_vs_housing_accord,100000.0,homes,estimate,,"UDIA: Sydney Water's IPART determination means it is funded for 100,000 fewer homes in its servicing area over the next five years than the National Housing Accord target requires Sydney to deliver.",REPORTED,SRC_INQ_T_0522,medium,2026-09-18
220,2026-05,NSW,transgrid_enquiries_vs_formal_applications_gw,6.0,GW,pipeline,,"Transgrid's submission, put to it by the Chair: more than 10 GW of connection inquiries from data centres, with approximately 6 GW progressing to formal applications. Jason Krstanoski confirmed the 10 GW is the inquiry stage and the 6 GW is where proponents are paying money and progressing through technical assessments.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
221,2026-05,NSW,transgrid_committed_data_centre_connections,0.0,count,actual,,"Jason Krstanoski, Executive General Manager Network, Transgrid, on 22 May 2026: 'We are very close but we haven't had a data centre actually commit yet. We're on the eve of that now.' As at that date NO data centre had committed to a transmission connection on Transgrid's network, against 10 GW of inquiries and 6 GW of formal applications. This is the single hardest quantification of phantom demand in the Australian record and it comes from the network business itself.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
222,2026-05,NSW,inquiry_witnesses,37.0,count,actual,,"Distinct witnesses across five hearings (1, 8, 22, 29 May and 2 July 2026), recovered from the transcript appearance formula. 15 appeared on 22 May alone, including Sydney Water, Transgrid, WSAA, UDIA, Business NSW, Unions NSW, the Nature Conservation Council, Greenpeace, the Premier's Department and Infrastructure NSW.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
223,2026-09,NSW,nsw_dc_consent_modifications_harvested,17.0,count,actual,,Post-consent modification records for data centre SSDs on the NSW Planning Portal.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
